CSR,Vs,target
0.33,10.4,1
0.22,9.6,1
0.29,12.1,1
0.27,10.7,1
0.15,15.9,1
0.16,7.6,1
0.31,19.8,1
0.4,9.4,1
0.25,13.8,1
0.23,12.2,1
0.4,15.9,1
0.28,15.7,1
0.21,15.2,1
0.18,12,1
0.13,7.1,1
0.19,11.5,1
0.22,15.6,1
0.2,6.7,1
0.2,11,1
0.16,12.1,0
0.27,17.9,0
0.5,21.3,0
0.21,11.4,0
0.29,15.5,0
0.16,23.3,0
0.2,19.8,0
0.27,14.4,0
0.45,36.5,0
0.24,22.4,0
0.21,16.8,0
0.24,23.4,0
0.13,19.9,0
0.35,19.5,0
0.21,24.4,0
0.23,30.3,0
0.48,61.8,0
0.2,38.2,0
0.22,44.5,0
0.28,28.4,0
0.24,39.2,0
0.15,6.4,0
0.15,28.2,0
0.15,29.3,0
0.14,30.4,0
0.15,19.7,0
0.16,14.5,0
0.15,35.4,0
